booking;flight;airline
104KXY;BHFV5I;CathayPacific
S1TK1R;MFXMQJ;SingaporeAirlines
WCZQTK;J51GXC;Lufthansa
18HAN7;QK46VS;QatarAirways
5GNPB4;DFUFAT;BritishAirways
SRG1A4;QUONYO;AmericanAirlines
O8I68K;PGRAMW;AirFrance
CRJFUA;CMZSP9;Lufthansa
YKEYJX;AOBR8L;SingaporeAirlines
8U0WRF;0SIMTI;AirFrance
F5E1JK;4CKN8B;SingaporeAirlines
4AAED7;5CH41L;UnitedAirlines
Q0OWM3;VD0V10;UnitedAirlines
95WW9F;2EZRZ5;BritishAirways
M4D53B;ZXW5RG;AmericanAirlines
QTX61C;25LOOO;AirFrance
IJUF54;T1RXY4;CathayPacific
BOHE1D;K6TSBE;BritishAirways
KMINHY;W9E91P;BritishAirways
1MMDNV;YKVSL9;UnitedAirlines
185DK8;LFIJDI;Delta
3YVHJ0;PJZNLB;BritishAirways
D5T5EG;XM21VU;SingaporeAirlines
YANJSL;BXCIXK;SingaporeAirlines
8JHM0R;NURPC0;Emirates
6DN70D;M2GSC4;AirFrance
XBRJYM;NAL0ER;AirFrance
CDUEJ2;RZLHFB;Lufthansa
RLUM9O;Z7MD8H;Delta
TC5Z5W;6TOVBV;Lufthansa
2AJXYA;JYT8X8;Lufthansa
GI8Z2F;A14TK9;AirFrance
L23K24;CDWSEJ;AirFrance
NU0WXQ;TEXIU7;CathayPacific
GQX25W;7XQ5SN;CathayPacific
UX86FQ;W1OSLV;Lufthansa
KZ7SPQ;TJISRY;AirFrance
L6CBBN;X7XNW0;Lufthansa
YZ3YTN;7BTZSY;Lufthansa
8958VH;ROGQKJ;AmericanAirlines
2LLX36;8ONDV8;SingaporeAirlines
BD6G9H;XYQA7J;Emirates
EV5RA2;CMKUNX;AmericanAirlines
LORVOX;252G9I;Emirates
574WVO;NYN5Z8;QatarAirways
J4ET3M;UH2DTU;AmericanAirlines
S3LMXO;CDTTEX;Emirates
3VL1Y8;XXGBB9;Lufthansa
18PCMI;OULPHU;BritishAirways
DTHLV6;U0DVS0;Emirates
39O23P;OQWNNH;BritishAirways
2SPJEI;YCH5L7;Delta
S6CV9L;DX0RFG;QatarAirways
ONKA42;431GHP;QatarAirways
BVBPAN;5UZUAQ;Emirates
QKHAJC;45HWLU;AmericanAirlines
OI0YJ9;7MND0J;Emirates
H9FTYP;4J0UVE;Emirates
FB49Q3;0SDWZ6;QatarAirways
I9TK9G;WYH6QK;Lufthansa
21ET79;AXILQY;AmericanAirlines
BU0YN1;6BYIEC;Emirates
E8GBJ0;AGPVTL;BritishAirways
8PLJ6B;RO3RSA;Delta
8ZHBVR;Z1Q5P3;AirFrance
TIM1RY;DI5VBV;SingaporeAirlines
GX572Q;QG94WH;BritishAirways
0UKYVK;WSB1BP;AirFrance
ESTQVY;UIG7LO;Lufthansa
5I25SZ;6FVNS7;AirFrance
O0JP4V;7VTE1R;QatarAirways
1OBWHC;BEGWFJ;CathayPacific
VX1VMM;SQGXVU;AirFrance
UTVD45;GAOZJX;AirFrance
6BPP9B;P0D6J5;BritishAirways
8RUQEQ;ZCTLYI;CathayPacific
FKZDOX;9X7RCJ;AirFrance
KEU9VH;696KWT;BritishAirways
QW7R6T;4HZTGI;SingaporeAirlines
014CKB;Q867MQ;BritishAirways
0P1M43;RA72DZ;BritishAirways
WRVSYN;YQT1SI;UnitedAirlines
O21UBG;YFWSDZ;BritishAirways
